id,nama,alamat,longitude,latitude,tipe
1,Psychosense Training & Consulting,Jl. Arjuna No. 26,112.62766,-7.97756,Psikiater
2,Rumah Ramah Djiwa,Jl. Kembang Sepatu No. 6,112.630642,-7.949937,Psikiater
3,Divine Consulting,Jl. Joyo Utomo V Blk. F No.13,112.601357,-7.94352,Psikiater
4,Psycho Center Univ. Negeri Malang,"Jl. Veteran No. 9, Sumbersari",112.620276,-7.959284,Psikiater
5,Psikologi Clarinta,"JL. Bandung X, 8600, Penanggungan, Kec. Klojen",112.622087,-7.96061,Psikiater
6,PT. Talenta Plus,"Ruko Soekarno Hatta Indah, JL. Soekarno Hatta, Blok D/2",112.631092,-7.940479,Psikiater
7,"dr. Buntoro,Sp.KJ","Jl. Semeru No.45, RW.3, Kauman, Klojen",112.623714,-7.973346,Psikiater
8,Klinik Psikologi dr. Atik S. SH. MPd Psikolog,"Jl. Kedawung, Tulusrejo, Kec. Lowokwaru",112.634599,-7.951871,Psikiater
9,"Totok Agus Suyono, M.mkes, Psi","Jl. Simpang Borobudur Utara, Mojolangu, Kec. Lowokwaru",112.641084,-7.937615,Psikiater
10,"dr. M. Hendrarko,Sp.KJ","JL. Tumenggang Suryo, 100-A, Bunulrejo, Kec. Blimbing",112.639934,-7.964142,Psikiater
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
