id,nama,alamat,longitude,latitude,tipe
1,Puskesmas Kedungkandang,Jl. Ki Ageng Gribig No.142 Kedungkandang,112.64815,-7.993084,Puskesmas
2,Puskesmas Gribig,Jl. Ki Ageng Gribig No.97 Kedungkandang,112.66532,-7.98065,Puskesmas
3,Puskesmas Arjowinangun,Jl. Arjowinangun No.2 Kedungkandang,112.64184,-8.038589,Puskesmas
4,Puskesmas Janti,Jl. Janti Barat No.88 Sukun,112.62058,-8.000975,Puskesmas
5,Puskesmas Ciptomulyo,Jl. Kol. Sugiyono VIII No.54 Sukun,112.630002,-8.00201,Puskesmas
6,Puskesmas Mulyorejo,Jl. Budi Utomo No.18A Sukun,112.597694,-7.987866,Puskesmas
7,Puskesmas Arjuno,Jl. Arjuno No.17 Klojen,112.626668,-7.978121,Puskesmas
8,Puskesmas Bareng,Jl. Bareng Tebes No.10A Klojen,112.622845,-7.97819,Puskesmas
9,Puskesmas Rampal Celaket,Jl. Simpang Kasembon No.5 Klojen,112.631672,-7.964256,Puskesmas
10,Puskesmas Kendalkerep,Jl. Sulfat No.100 Blimbing,112.650877,-7.961204,Puskesmas
11,Puskesmas Cisadea,Jl. Cisadea No.19 Blimbing,112.643618,-7.955413,Puskesmas
12,Puskesmas Pandanwangi,Jl. L.A. Sucipto No.315 Blimbing,112.655528,-7.947313,Puskesmas
13,Puskesmas Dinoyo,Jl. Keramik No.2 Lowokwaru,112.611296,-7.943266,Puskesmas
14,Puskesmas Kendalsari,Jl. Cengger Ayam No.8 Lowokwaru,112.630848,-7.7946229,Puskesmas
15,Puskesmas Mojolangu,Jl. Sudimoro No.17A Lowokwaru,112.632223,-7.938376,Puskesmas
16,Puskesmas Polowijen,Jl. Panji Suroso No.9 Malang,112.650294,-7.932147,Puskesmas
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
